knights 23.08.4-1
knotifications5 5.115.0-1
knotifyconfig5 5.115.0-1
kolf 23.08.4-1
kollision 23.08.4-1
kompare 23.08.4-1
konquest 23.08.4-1
konsole 23.08.4-2
kpackage5 5.115.0-1
kparts5 5.115.0-1
kpat 23.08.4-1
kpeople5 5.115.0-1
kpeoplevcard 0.1-2
kpipewire 5.27.10-1
kplotting5 5.115.0-1
kpmcore 23.08.4-1
kpty5 5.115.0-1
kquickcharts5 5.115.0-1
krb5 1.21.2-2
krdc 23.08.4-1
kreversi 23.08.4-1
krfb 23.08.4-1
krunner5 5.115.0-1
kscreen 5.27.10-1
kscreenlocker 5.27.10-1
kservice5 5.115.0-1
kshisen 23.08.4-1
ksirk 23.08.4-1
ksnakeduel 23.08.4-1
kspaceduel 23.08.4-1
ksquares 23.08.4-1
ksshaskpass 5.27.10-1
ksudoku 23.08.4-1
ksysguard 5.22.0-2
ksystemstats 5.27.10-1
ktexteditor5 5.115.0-1
ktextwidgets5 5.115.0-1
ktorrent 23.08.4-2
ktuberling 23.08.4-1
kubrick 23.08.4-1
kunitconversion5 5.115.0-1
kuserfeedback5 1.3.0-4
kvantum 1.0.10-2
kwallet-pam 5.27.10-1
kwallet5 5.115.0-1
kwayland-integration 5.27.10-1
kwayland5 5.115.0-1
kwidgetsaddons5 5.115.0-1
kwin 5.27.10-2
kwin-scripts-forceblur 0.6.1-1.3
kwindowsystem5 5.115.0-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
layer-shell-qt 5.27.10-1
lcms2 2.16-1
ldb 2:2.8.0-1
ldns 1.8.3-2
less 1:643-1
leveldb 1.23-3
lhasa 0.3.1-3
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-oss 1.1.8-4
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.50.1-1
lib32-attr 2.5.2-1
lib32-blas 3.11.0-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-1
lib32-colord 1.4.7-1
lib32-curl 8.6.0-3
lib32-dbus 1.14.10-2
lib32-dbus-glib 0.112-2
lib32-duktape 2.7.0-6
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.0-1
lib32-faudio 23.10-1
lib32-flac 1.4.3-1
lib32-fluidsynth 2.3.4-1
lib32-fontconfig 2:2.15.0-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gamemode 1.8.1-1
lib32-gcc-libs 13.2.1-5
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.22.4-1
lib32-giflib 5.2.1-1
lib32-glew 2.2.0-4
lib32-glew1.10 1.10.0-5
lib32-glib-networking 1:2.78.0-1
lib32-glib2 2.78.4-1
lib32-glibc 2.39-1
lib32-glu 9.0.3-1
lib32-gmp 6.3.0-1
lib32-gnutls 3.8.3-1
lib32-gst-plugins-base-libs 1.22.9-2
lib32-gstreamer 1.22.9-2
lib32-gtk2 2.24.33-2
lib32-gtk3 1:3.24.41-1
lib32-harfbuzz 8.3.0-2
lib32-icu 74.2-1
lib32-imlib2 1.12.2-1
lib32-json-c 0.17-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.21.2-1
lib32-lapack 3.11.0-1
lib32-lcms2 2.16-1
lib32-libappindicator-gtk2 12.10.0.r298-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libcap 2.69-1
lib32-libcups 2.4.7-1
lib32-libcurl-compat 8.6.0-3
lib32-libcurl-gnutls 8.6.0-3
lib32-libdatrie 0.2.13-2
lib32-libdbusmenu-glib 16.04.0-5
lib32-libdbusmenu-gtk2 16.04.0-5
lib32-libdecor 0.2.2-1
lib32-libdrm 2.4.119-1
lib32-libelf 0.190-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.3-1
lib32-libgcrypt15 1.5.6-7
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.47-1
lib32-libgudev 238-1
lib32-libice 1.1.1-1
lib32-libidn11 1.33-2
lib32-libidn2 2.3.7-1
lib32-libindicator-gtk2 12.10.1-9
